file,stamp_ns,delay_ms_used,img_w,img_h,twist_src_ns,twist_linear_x_mps,twist_angular_z_rps,accel_from_twist_mps2,throttle_from_twist_norm,brake_from_twist_norm
images/frame_1757219346726712064.png,1757219346726712064,120.0,640,480,1757219346904670261,0.7,0.1378124999999999,0.0,0.0,0.0
images/frame_1757219346758752000.png,1757219346758752000,120.0,640,480,1757219346904670261,0.7,0.1378124999999999,0.0,0.0,0.0
images/frame_1757219346790788096.png,1757219346790788096,120.0,640,480,1757219346905831052,0.7,0.1021874999999999,0.0,0.0,0.0
images/frame_1757219346826700032.png,1757219346826700032,120.0,640,480,1757219346968779405,0.7,0.1031249999999999,0.0,0.0,0.0
images/frame_1757219346858692096.png,1757219346858692096,120.0,640,480,1757219346974286653,0.7,0.1178124999999999,0.0,0.0,0.0
images/frame_1757219346926710016.png,1757219346926710016,120.0,640,480,1757219347041087723,0.7,0.1599999999999999,0.0,0.0,0.0
images/frame_1757219346994706944.png,1757219346994706944,120.0,640,480,1757219347119741735,0.7,0.2549999999999999,0.0,0.0,0.0
images/frame_1757219347026785024.png,1757219347026785024,120.0,640,480,1757219347143245188,0.7,0.3024999999999999,0.0,0.0,0.0
images/frame_1757219347058746880.png,1757219347058746880,120.0,640,480,1757219347178098567,0.7,0.1775,0.0,0.0,0.0
images/frame_1757219347126725888.png,1757219347126725888,120.0,640,480,1757219347243498647,0.7,0.2606249999999999,0.0,0.0,0.0
images/frame_1757219347158753024.png,1757219347158753024,120.0,640,480,1757219347275148409,0.7,0.2762499999999999,0.0,0.0,0.0
images/frame_1757219347194740992.png,1757219347194740992,120.0,640,480,1757219347320410736,0.7,0.2959374999999999,0.0,0.0,0.0
images/frame_1757219347226736896.png,1757219347226736896,120.0,640,480,1757219347320410736,0.7,0.2959374999999999,0.0,0.0,0.0
images/frame_1757219347259333120.png,1757219347259333120,120.0,640,480,1757219347396763741,0.7,0.3159374999999998,0.0,0.0,0.0
images/frame_1757219347362726912.png,1757219347362726912,120.0,640,480,1757219347479377866,0.7,0.4706249999999999,0.0,0.0,0.0
images/frame_1757219347394726912.png,1757219347394726912,120.0,640,480,1757219347510479201,0.7,0.47875,0.0,0.0,0.0
images/frame_1757219347426756096.png,1757219347426756096,120.0,640,480,1757219347545078879,0.7,0.51375,0.0,0.0,0.0
images/frame_1757219347462818048.png,1757219347462818048,120.0,640,480,1757219347579252341,0.7,0.525625,0.0,0.0,0.0
images/frame_1757219347494697984.png,1757219347494697984,120.0,640,480,1757219347610388429,0.7,0.5800000000000001,0.0,0.0,0.0
images/frame_1757219347526744064.png,1757219347526744064,120.0,640,480,1757219347646589099,0.7,0.5881250000000001,0.0,0.0,0.0
images/frame_1757219347562710016.png,1757219347562710016,120.0,640,480,1757219347681561361,0.7,0.6037500000000001,0.0,0.0,0.0
images/frame_1757219347594733056.png,1757219347594733056,120.0,640,480,1757219347712833900,0.7,0.63875,0.0,0.0,0.0
images/frame_1757219347626807040.png,1757219347626807040,120.0,640,480,1757219347746325684,0.7,0.6893750000000001,0.0,0.0,0.0
images/frame_1757219347662774016.png,1757219347662774016,120.0,640,480,1757219347779277936,0.7,0.7943749999999999,0.0,0.0,0.0
images/frame_1757219347694724096.png,1757219347694724096,120.0,640,480,1757219347810709646,0.7,0.810625,0.0,0.0,0.0
images/frame_1757219347726726912.png,1757219347726726912,120.0,640,480,1757219347844926469,0.7,0.841875,0.0,0.0,0.0
images/frame_1757219347762715904.png,1757219347762715904,120.0,640,480,1757219347877351287,0.7,0.85375,0.0,0.0,0.0
images/frame_1757219347794745088.png,1757219347794745088,120.0,640,480,1757219347914430407,0.7,0.869375,0.0,0.0,0.0
images/frame_1757219347830763008.png,1757219347830763008,120.0,640,480,1757219347951719196,0.7,0.885,0.0,0.0,0.0
images/frame_1757219347862789888.png,1757219347862789888,120.0,640,480,1757219347976733272,0.7,0.8618750000000002,0.0,0.0,0.0
images/frame_1757219347894740992.png,1757219347894740992,120.0,640,480,1757219348027323129,0.7,0.885,0.0,0.0,0.0
images/frame_1757219347930722048.png,1757219347930722048,120.0,640,480,1757219348045574091,0.7,0.9200000000000002,0.0,0.0,0.0
images/frame_1757219347962714112.png,1757219347962714112,120.0,640,480,1757219348095236856,0.7,0.8931250000000002,0.0,0.0,0.0
images/frame_1757219347994746112.png,1757219347994746112,120.0,640,480,1757219348095236856,0.7,0.8931250000000002,0.0,0.0,0.0
images/frame_1757219348030836992.png,1757219348030836992,120.0,640,480,1757219348162442568,0.7,0.9356250000000002,0.0,0.0,0.0
images/frame_1757219348062947072.png,1757219348062947072,120.0,640,480,1757219348177685117,0.7,0.9087500000000002,0.0,0.0,0.0
images/frame_1757219348130744064.png,1757219348130744064,120.0,640,480,1757219348247509986,0.7,0.9243750000000002,0.0,0.0,0.0
images/frame_1757219348162813952.png,1757219348162813952,120.0,640,480,1757219348287535404,0.7,0.9668750000000002,0.0,0.0,0.0
images/frame_1757219348198757888.png,1757219348198757888,120.0,640,480,1757219348312596039,0.7,0.9787499999999998,0.0,0.0,0.0
images/frame_1757219348230771968.png,1757219348230771968,120.0,640,480,1757219348358924529,0.7,1.01375,0.0,0.0,0.0
images/frame_1757219348298752000.png,1757219348298752000,120.0,640,480,1757219348430188627,0.7,1.060625,0.0,0.0,0.0
